hex,outgoing_trips
891f05b8003ffff,24.0
891f05b8007ffff,6.0
891f05b800bffff,12.5
891f05b800fffff,2.5
891f05b8013ffff,39.5
891f05b8017ffff,3.5
891f05b801bffff,21.5
891f05b8033ffff,0.0
891f05b8043ffff,16.5
891f05b8047ffff,16.0
891f05b804bffff,6.5
891f05b804fffff,30.0
891f05b8053ffff,16.5
891f05b8057ffff,7.0
891f05b805bffff,0.5
891f05b8063ffff,0.5
891f05b806bffff,0.0
891f05b8073ffff,4.5
891f05b807bffff,3.0
891f05b8083ffff,10.0
891f05b8087ffff,17.5
891f05b808bffff,5.5
891f05b808fffff,2.5
891f05b8093ffff,29.5
891f05b8097ffff,31.0
891f05b809bffff,22.5
891f05b80b3ffff,0.0
891f05b80c3ffff,26.0
891f05b80c7ffff,30.5
891f05b80cbffff,3.5
891f05b80cfffff,26.0
891f05b80d3ffff,23.0
891f05b80d7ffff,15.0
891f05b80dbffff,18.5
891f05b8203ffff,2.0
891f05b820bffff,3.0
891f05b8213ffff,5.5
891f05b8217ffff,9.5
891f05b821bffff,6.0
891f05b8247ffff,3.5
891f05b824fffff,0.0
891f05b8253ffff,1.0
891f05b8257ffff,1.5
891f05b825bffff,2.5
891f05b8273ffff,3.5
891f05b827bffff,0.5
891f05b8283ffff,14.5
891f05b8287ffff,1.0
891f05b828bffff,4.0
891f05b828fffff,16.5
891f05b8293ffff,5.0
891f05b8297ffff,1.5
891f05b829bffff,3.0
891f05b82a3ffff,5.5
891f05b82b3ffff,20.0
891f05b82b7ffff,10.5
891f05b82bbffff,2.5
891f05b82c3ffff,0.0
891f05b82c7ffff,1.0
891f05b82cbffff,1.0
891f05b82d7ffff,1.0
891f05b82dbffff,3.0
891f05b8403ffff,83.5
891f05b8407ffff,74.0
891f05b840bffff,91.0
891f05b840fffff,93.5
891f05b8413ffff,24.0
891f05b8417ffff,37.5
891f05b841bffff,256.5
891f05b8423ffff,43.5
891f05b8427ffff,23.0
891f05b842bffff,64.5
891f05b842fffff,20.0
891f05b8433ffff,12.5
891f05b8437ffff,34.0
891f05b843bffff,21.5
891f05b8443ffff,12.0
891f05b8447ffff,135.0
891f05b844bffff,4.0
891f05b844fffff,0.5
891f05b8453ffff,7.5
891f05b8457ffff,32.5
891f05b845bffff,2.0
891f05b8463ffff,32.0
891f05b8467ffff,63.0
891f05b846bffff,35.0
891f05b846fffff,14.0
891f05b8473ffff,144.5
891f05b8477ffff,49.0
891f05b847bffff,76.5
891f05b8483ffff,115.0
891f05b8487ffff,36.5
891f05b848bffff,112.0
891f05b848fffff,53.0
891f05b8493ffff,124.0
891f05b8497ffff,83.5
891f05b849bffff,93.5
891f05b84a3ffff,11.0
891f05b84a7ffff,34.5
891f05b84abffff,18.0
891f05b84afffff,11.0
891f05b84b3ffff,37.5
891f05b84b7ffff,29.0
891f05b84bbffff,35.0
891f05b84c3ffff,43.5
891f05b84c7ffff,64.5
891f05b84cbffff,33.0
891f05b84cfffff,129.5
891f05b84d3ffff,42.5
891f05b84d7ffff,71.5
891f05b84dbffff,22.0
891f05b8503ffff,6.0
891f05b8507ffff,3.5
891f05b850bffff,0.0
891f05b8513ffff,7.0
891f05b8517ffff,0.5
891f05b851bffff,0.0
891f05b8543ffff,1.5
891f05b854bffff,19.0
891f05b8553ffff,7.0
891f05b8557ffff,4.0
891f05b855bffff,15.5
891f05b8577ffff,0.0
891f05b8583ffff,1.0
891f05b858bffff,1.5
891f05b858fffff,3.0
891f05b8593ffff,4.0
891f05b8597ffff,8.0
891f05b859bffff,0.5
891f05b85a3ffff,0.0
891f05b85a7ffff,0.0
891f05b85abffff,0.5
891f05b85afffff,0.5
891f05b85b3ffff,1.0
891f05b85b7ffff,0.0
891f05b85bbffff,3.0
891f05b85c3ffff,26.0
891f05b85c7ffff,0.0
891f05b85cbffff,17.0
891f05b85cfffff,3.0
891f05b85d3ffff,27.5
891f05b85d7ffff,0.0
891f05b85dbffff,21.5
891f05b8603ffff,7.5
891f05b8607ffff,6.5
891f05b860bffff,0.0
891f05b860fffff,2.0
891f05b8613ffff,23.5
891f05b8617ffff,12.5
891f05b8623ffff,5.0
891f05b8627ffff,7.0
891f05b862bffff,2.5
891f05b862fffff,1.0
891f05b8633ffff,38.0
891f05b8637ffff,27.0
891f05b863bffff,4.5
891f05b8643ffff,2.5
891f05b8647ffff,11.0
891f05b864bffff,4.5
891f05b864fffff,31.0
891f05b8653ffff,10.5
891f05b8657ffff,4.5
891f05b865bffff,10.0
891f05b8663ffff,0.5
891f05b8667ffff,11.0
891f05b866bffff,0.0
891f05b866fffff,3.0
891f05b8673ffff,3.0
891f05b8677ffff,1.0
891f05b867bffff,1.0
891f05b8683ffff,20.5
891f05b8687ffff,13.0
891f05b868bffff,10.0
891f05b868fffff,23.5
891f05b8693ffff,24.5
891f05b8697ffff,7.0
891f05b869bffff,15.5
891f05b86a3ffff,0.0
891f05b86a7ffff,42.5
891f05b86abffff,14.0
891f05b86afffff,71.0
891f05b86b3ffff,8.5
891f05b86b7ffff,23.0
891f05b86bbffff,12.0
891f05b86c3ffff,18.5
891f05b86c7ffff,0.0
891f05b86cbffff,17.5
891f05b86cfffff,0.5
891f05b86d3ffff,12.0
891f05b86d7ffff,0.0
891f05b86dbffff,0.0
891f05b9183ffff,2.0
891f05b9193ffff,0.5
891f05b9197ffff,3.0
891f05b919bffff,1.5
891f05b9503ffff,17.0
891f05b9507ffff,10.0
891f05b950bffff,2.5
891f05b9513ffff,5.5
891f05b9517ffff,57.5
891f05b9523ffff,1.0
891f05b9527ffff,0.5
891f05b952bffff,0.0
891f05b952fffff,6.5
891f05b9533ffff,8.0
891f05b9537ffff,10.0
891f05b953bffff,5.0
891f05b9553ffff,0.0
891f05b9567ffff,1.5
891f05b9587ffff,7.0
891f05b958bffff,1.5
891f05b958fffff,14.0
891f05b9593ffff,1.0
891f05b9597ffff,3.0
891f05b959bffff,1.5
891f05b95a3ffff,1.5
891f05b95a7ffff,2.5
891f05b95abffff,3.5
891f05b95afffff,2.5
891f05b95b3ffff,1.5
891f05b95b7ffff,1.0
891f05b95bbffff,8.0
891f05b95d7ffff,0.5
891f05ba067ffff,0.0
891f05ba203ffff,6.5
891f05ba207ffff,33.5
891f05ba20bffff,30.0
891f05ba20fffff,35.5
891f05ba213ffff,31.0
891f05ba217ffff,62.0
891f05ba21bffff,35.5
891f05ba223ffff,105.0
891f05ba227ffff,23.0
891f05ba22bffff,122.5
891f05ba22fffff,77.0
891f05ba233ffff,40.5
891f05ba237ffff,15.0
891f05ba23bffff,175.5
891f05ba243ffff,8.0
891f05ba247ffff,10.0
891f05ba24bffff,23.5
891f05ba24fffff,16.5
891f05ba253ffff,0.5
891f05ba257ffff,33.5
891f05ba25bffff,4.0
891f05ba263ffff,8.5
891f05ba267ffff,115.5
891f05ba26bffff,0.0
891f05ba26fffff,31.0
891f05ba273ffff,33.5
891f05ba277ffff,55.5
891f05ba283ffff,18.0
891f05ba287ffff,3.0
891f05ba28bffff,31.5
891f05ba28fffff,23.5
891f05ba293ffff,2.0
891f05ba29bffff,11.0
891f05ba2a3ffff,7.0
891f05ba2abffff,3.0
891f05ba2bbffff,0.5
891f05ba2c3ffff,33.0
891f05ba2c7ffff,61.5
891f05ba2cfffff,36.0
891f05ba2d3ffff,1.0
891f05ba2d7ffff,8.5
891f05ba303ffff,4.0
891f05ba307ffff,3.5
891f05ba30bffff,0.0
891f05ba313ffff,5.5
891f05ba317ffff,0.5
891f05ba31bffff,3.5
891f05ba323ffff,1.5
891f05ba327ffff,3.0
891f05ba32bffff,11.0
891f05ba32fffff,10.5
891f05ba333ffff,0.5
891f05ba337ffff,4.0
891f05ba33bffff,4.0
891f05ba343ffff,64.0
891f05ba347ffff,61.5
891f05ba34bffff,30.0
891f05ba34fffff,78.5
891f05ba353ffff,4.5
891f05ba357ffff,1.5
891f05ba35bffff,67.0
891f05ba363ffff,0.0
891f05ba367ffff,5.5
891f05ba36bffff,48.0
891f05ba36fffff,0.0
891f05ba373ffff,0.0
891f05ba377ffff,13.5
891f05ba37bffff,154.5
891f05ba393ffff,0.0
891f05ba3a3ffff,0.0
891f05ba3abffff,0.5
891f05ba3afffff,2.5
891f05ba3c3ffff,1.0
891f05ba3cbffff,3.5
891f05ba3cfffff,8.5
891f05ba667ffff,0.5
891f05ba66fffff,12.5
891f05bae03ffff,1.0
891f05bae0bffff,1.5
891f05bae13ffff,3.0
891f05bae1bffff,4.5
891f05bae43ffff,0.5
891f05bae47ffff,1.5
891f05bae4bffff,1.5
891f05bae4fffff,3.5
891f05bae53ffff,4.0
891f05bae57ffff,2.0
891f05bae5bffff,5.5
891f05bae63ffff,0.5
891f05bae6bffff,0.5
891f05bae73ffff,1.5
891f05bae77ffff,0.0
891f05bae7bffff,2.0
891f05bae8bffff,0.5
891f05baec3ffff,2.0
891f05baec7ffff,8.0
891f05baecbffff,11.0
891f05baecfffff,13.0
891f05baedbffff,1.0
891f05bb003ffff,4.5
891f05bb007ffff,7.5
891f05bb00bffff,15.5
891f05bb00fffff,15.0
891f05bb013ffff,5.5
891f05bb01bffff,5.0
891f05bb023ffff,1.0
891f05bb027ffff,2.5
891f05bb02bffff,1.0
891f05bb02fffff,2.5
891f05bb033ffff,2.0
891f05bb037ffff,1.0
891f05bb03bffff,8.0
891f05bb043ffff,2.0
891f05bb047ffff,14.5
891f05bb04bffff,7.0
891f05bb04fffff,0.5
891f05bb053ffff,4.0
891f05bb057ffff,9.5
891f05bb063ffff,6.5
891f05bb067ffff,11.5
891f05bb06bffff,20.5
891f05bb06fffff,5.5
891f05bb073ffff,2.5
891f05bb077ffff,3.5
891f05bb07bffff,7.0
891f05bb0a7ffff,4.0
891f05bb0afffff,3.0
891f05bb0b7ffff,3.0
891f05bb0c7ffff,0.5
891f05bb0cbffff,0.0
891f05bb0cfffff,3.0
891f05bb103ffff,10.5
891f05bb107ffff,28.0
891f05bb10bffff,0.0
891f05bb10fffff,9.5
891f05bb113ffff,15.5
891f05bb117ffff,16.5
891f05bb11bffff,0.0
891f05bb123ffff,9.5
891f05bb127ffff,7.5
891f05bb12bffff,12.0
891f05bb12fffff,2.5
891f05bb133ffff,45.5
891f05bb137ffff,65.5
891f05bb13bffff,15.0
891f05bb143ffff,5.5
891f05bb147ffff,0.0
891f05bb14bffff,1.0
891f05bb14fffff,2.0
891f05bb153ffff,4.5
891f05bb157ffff,6.5
891f05bb15bffff,1.0
891f05bb163ffff,0.0
891f05bb167ffff,9.5
891f05bb16bffff,0.5
891f05bb16fffff,0.0
891f05bb173ffff,0.0
891f05bb177ffff,2.0
891f05bb17bffff,4.5
891f05bb183ffff,2.5
891f05bb187ffff,24.0
891f05bb18bffff,0.0
891f05bb18fffff,19.0
891f05bb193ffff,3.5
891f05bb197ffff,21.5
891f05bb19bffff,6.5
891f05bb1a3ffff,81.5
891f05bb1a7ffff,35.0
891f05bb1abffff,44.0
891f05bb1afffff,67.5
891f05bb1b3ffff,35.0
891f05bb1b7ffff,12.0
891f05bb1bbffff,34.5
891f05bb1c3ffff,0.5
891f05bb1c7ffff,0.0
891f05bb1cbffff,0.5
891f05bb1d3ffff,5.5
891f05bb1d7ffff,0.0
891f05bb1dbffff,1.5
891f05bb203ffff,1.0
891f05bb207ffff,0.5
891f05bb213ffff,0.5
891f05bb21bffff,1.0
891f05bb223ffff,3.0
891f05bb227ffff,3.0
891f05bb233ffff,3.0
891f05bb237ffff,0.5
891f05bb23bffff,1.0
891f05bb287ffff,0.5
891f05bb28fffff,0.0
891f05bb297ffff,0.0
891f05bb2a3ffff,1.5
891f05bb2a7ffff,3.0
891f05bb2afffff,1.0
891f05bb2b3ffff,4.5
891f05bb2b7ffff,19.0
891f05bb2bbffff,1.0
891f05bb2c7ffff,0.5
891f05bb307ffff,0.5
891f05bb30bffff,0.0
891f05bb30fffff,0.0
891f05bb313ffff,0.0
891f05bb31bffff,1.0
891f05bb323ffff,1.0
891f05bb327ffff,9.5
891f05bb32bffff,0.0
891f05bb32fffff,2.0
891f05bb333ffff,0.5
891f05bb337ffff,3.0
891f05bb33bffff,6.0
891f05bb347ffff,0.0
891f05bb34fffff,3.5
891f05bb353ffff,0.0
891f05bb35bffff,1.0
891f05bb363ffff,3.0
891f05bb367ffff,3.5
891f05bb36bffff,1.0
891f05bb373ffff,0.0
891f05bb377ffff,2.5
891f05bb37bffff,3.0
891f05bb383ffff,0.0
891f05bb387ffff,1.5
891f05bb38bffff,0.5
891f05bb38fffff,2.5
891f05bb393ffff,2.0
891f05bb397ffff,1.0
891f05bb39bffff,3.0
891f05bb3a7ffff,1.0
891f05bb3afffff,0.5
891f05bb3b3ffff,0.0
891f05bb3b7ffff,0.0
891f05bb3c3ffff,1.0
891f05bb3c7ffff,1.0
891f05bb3cbffff,1.5
891f05bb3cfffff,0.0
891f05bb3d3ffff,1.5
891f05bb3d7ffff,2.0
891f05bb3dbffff,5.0
891f05bb56fffff,0.0
891f05bb627ffff,0.0
891f05b8523ffff,0.0
891f05ba2cbffff,0.5
891f05bb0abffff,1.0
891f05bb05bffff,0.0
