region,sex,2022
Malmö (RegSO-Almvik norr-Lindängen norr),total,3367
Malmö (RegSO-Almvik syd-Lindängen syd),total,3280
Malmö (RegSO-Annelund-Lönngården),total,2936
Malmö (RegSO-Annetorp-Kalkbrottet),total,5004
Malmö (RegSO-Augustenborg),total,3599
Malmö (RegSO-Bellevuegården väst),total,2433
Malmö (RegSO-Bellevuegården öst),total,2172
Malmö (RegSO-Bellevue-Nya Bellevue),total,2142
Malmö (RegSO-Bunkeflostrand syd),total,4581
Malmö (RegSO-Bunkeflostrand väst),total,5652
Malmö (RegSO-Bunkeflostrand öst),total,4315
Malmö (RegSO-Dammfri),total,4195
Malmö (RegSO-Davidshall-Lugnet),total,6588
Malmö (RegSO-Djupadal-Rosenvång),total,5194
Malmö (RegSO-Elinelund-Djupadal),total,4734
Malmö (RegSO-Emilstorp-Östra kyrkogården-Apelgården),total,3814
Malmö (RegSO-Eriksfält),total,1300
Malmö (RegSO-Fortuna hemgården-Kvarnby-Södra Sallerup),total,3698
Malmö (RegSO-Fosieby-Kastanjegården),total,1754
Malmö (RegSO-Fågelbacken),total,2884
Malmö (RegSO-Gamla Limhamn),total,5823
Malmö (RegSO-Gamla staden öst),total,6172
Malmö (RegSO-Gullvik),total,2042
Malmö (RegSO-Gullviksborg-Hermodsdal syd),total,4238
Malmö (RegSO-Hamnen-Stortorget),total,1794
Malmö (RegSO-Heleneholm-Almhög),total,5953
Malmö (RegSO-Hermodsdal-Gullviksborg),total,4505
Malmö (RegSO-Herrgården norr),total,4509
Malmö (RegSO-Hindby),total,2360
Malmö (RegSO-Holma),total,3919
Malmö (RegSO-Holma-Kroksbäck),total,1458
Malmö (RegSO-Hyllievång norr),total,1895
Malmö (RegSO-Hyllievång syd),total,6527
Malmö (RegSO-Håkanstorp-Bulltofta-Valdemarsro),total,4429
Malmö (RegSO-Hästhagen-Kronprinsen),total,3046
Malmö (RegSO-Jägersro öst-Stenkällan),total,3379
Malmö (RegSO-Jägersro-Almgården-Höja väst),total,3465
Malmö (RegSO-Kirseberg syd),total,1450
Malmö (RegSO-Kirsebergsstaden-Rostorp),total,5041
Malmö (RegSO-Kroksbäck väst),total,2838
Malmö (RegSO-Kronborg-Pildammsparken-Teatern),total,2587
Malmö (RegSO-Kryddgården),total,3816
Malmö (RegSO-Kulladal),total,4867
Malmö (RegSO-Limhamns hamnområde),total,9007
Malmö (RegSO-Lindängen),total,4209
Malmö (RegSO-Lorensborg),total,5017
Malmö (RegSO-Malmöhus),total,1695
Malmö (RegSO-Mellanheden-Solbacken),total,3235
Malmö (RegSO-Möllevången),total,2895
Malmö (RegSO-Möllevången syd),total,1574
Malmö (RegSO-Möllevången väst),total,3282
Malmö (RegSO-Möllevången öst),total,3189
Malmö (RegSO-Nydala norr),total,3484
Malmö (RegSO-Oxie norr),total,6182
Malmö (RegSO-Oxie syd),total,7935
Malmö (RegSO-Persborg-Törnrosen),total,3674
Malmö (RegSO-Ribersborg),total,9073
Malmö (RegSO-Riseberga),total,4841
Malmö (RegSO-Rådmansvången),total,7415
Malmö (RegSO-Rönneholm),total,7875
Malmö (RegSO-Rörsjöstaden),total,4799
Malmö (RegSO-Sege väst),total,2847
Malmö (RegSO-Sege öst),total,2198
Malmö (RegSO-Sibbarp),total,4607
Malmö (RegSO-Slussen),total,3368
Malmö (RegSO-Sofielund norr),total,5426
Malmö (RegSO-Sorgenfri norr),total,2491
Malmö (RegSO-Stadion-Borgmästaregården),total,2623
Malmö (RegSO-Svågertorp-Lindeborg),total,4982
Malmö (RegSO-Söderkulla),total,6523
Malmö (RegSO-Södervärn-Allmänna sjukhuset-Flensburg),total,3117
Malmö (RegSO-Södra Sofielund),total,3737
Malmö (RegSO-Tygelsjö by omland),total,5805
Malmö (RegSO-Videdal),total,3309
Malmö (RegSO-Vintrie-Skumparp),total,1110
Malmö (RegSO-Virentofta-Östra Skrävlinge-Toftanäs),total,5547
Malmö (RegSO-Värnhem-Västra Sorgenfri),total,7172
Malmö (RegSO-Västervång-Fridhem),total,2814
Malmö (RegSO-Västra hamnen nordväst),total,4527
Malmö (RegSO-Västra hamnen norr),total,2110
Malmö (RegSO-Västra hamnen sydöst),total,4300
Malmö (RegSO-Västra hamnen väst),total,2008
Malmö (RegSO-Västra Kattarp),total,1817
Malmö (RegSO-Västra Sorgenfri öst),total,3521
Malmö (RegSO-Ärtholmen-Södertorp-Gröndal),total,3410
Malmö (RegSO-Ön norr),total,1486
Malmö (RegSO-Örtagården norr),total,2132
Malmö (RegSO-Örtagården syd-Herrgården syd),total,3650
Malmö (RegSO-Östervärn-Ellstorp),total,5226
Malmö (RegSO-Östra Sorgenfri norr),total,3339
Malmö (RegSO-Östra Sorgenfri syd),total,3039
Kalmar (Tegelviken-Västra Malmen),total,5340
Kalmar (Östra Norrgård-Östra Malmen),total,3244
